PublishedAgo,Salary,Rating,Employer,JobTitle,Location,Size,Founded,Type,Industry,Sector,Revenue
30d+,-1,3.5,"Discord
3.5",Staff Software Engineer - Applied Machine Learning,"San Francisco, CA",501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD)
30d+,$133K - $189K (Glassdoor est.),3.6,"Tesla
3.6","Machine Learning Engineer – 3D computer vision, Autopilot AI","Palo Alto, CA",10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD)
19d,$70K - $105K (Employer est.),4.4,"Zynga
4.4",Senior Software Engineer (Frontend) - Applied AI,United States,1001 to 5000 Employees,2007,Company - Public,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD)
12d,$121K - $163K (Employer est.),4.2,"Autodesk
4.2",Machine Learning Engineer,"San Francisco, CA",10000+ Employees,1982,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)
30d+,-1,5.0,"ClimateAI
5.0",Software Engineer – Frontend,Remote,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
30d+,$60K - $89K (Glassdoor est.),3.4,"Paradyme Management
3.4",Junior AI/ML Software Developer,"Washington, DC",51 to 200 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
30d+,$160K - $190K (Employer est.),5.0,"Runway AI
5.0",Staff Frontend Engineer,Remote,1 to 50 Employees,2018,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
30d+,$150K - $200K (Employer est.),4.5,"Curai
4.5",Machine Learning Engineer (Remote),"San Francisco, CA",51 to 200 Employees,2017,Company - Private,Hospitals & Health Clinics,Healthcare,Unknown / Non-Applicable
9d,$97K - $234K (Employer est.),4.0,"PayPal
4.0",AI Machine Learning Engineer,"San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
4d,$113K - $162K (Glassdoor est.),4.3,"MIT
4.3",Machine Learning Engineer,"Cambridge, MA",10000+ Employees,1861,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
17d,$117K (Employer est.),3.9,"Zoom Video Communications, Inc.
3.9",Machine Learning Engineer,"San Francisco, CA",1001 to 5000 Employees,2011,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
8d,-1,4.5,"Digital Diagnostics, Inc.
4.5",Machine Learning Engineer,Remote,51 to 200 Employees,2010,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
6d,$152K - $190K (Employer est.),3.9,"ITHAKA
3.9","Principal Engineer, Machine Learning","Ann Arbor, MI",201 to 500 Employees,1995,Nonprofit Organization,Internet & Web Services,Information Technology,$25 to $100 million (USD)
30d+,$117K - $214K (Employer est.),4.4,"Adobe
4.4",Machine Learning Engineer,"San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
3d,$173K - $241K (Employer est.),3.9,"Meta
3.9","Software Engineer, Machine Learning - Generative AI","Menlo Park, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
